,ground-truth,gpt-4o-beg2000,gpt-4o-end2000,gpt-4o-mid2000
Bluespec,2,2.0,2.0,2.0
Boogie,3,3.0,2.0,3.0
Brainfuck,5,4.0,5.0,4.0
BrighterScript,3,0.0,0.0,0.0
Brightscript,1,1.0,1.0,1.0
Browserslist,2,2.0,2.0,2.0
C#,9,8.0,9.0,8.0
C++,55,48.0,48.0,48.0
C,58,54.0,50.0,52.0
CAP CDS,5,0.0,0.0,0.0
CIL,2,0.0,0.0,0.0
CLIPS,2,1.0,2.0,2.0
CMake,7,7.0,7.0,7.0
COBOL,4,4.0,4.0,4.0
CODEOWNERS,1,1.0,1.0,1.0
CSON,4,1.0,1.0,1.0
CSS,2,2.0,2.0,2.0
CSV,1,1.0,0.0,1.0
CUE,2,2.0,1.0,2.0
CWeb,2,0.0,0.0,0.0
Cabal Config,4,0.0,0.0,0.0
Caddyfile,2,2.0,1.0,2.0
Cadence,6,6.0,6.0,6.0
Cairo Zero,5,0.0,0.0,0.0
Cairo,5,1.0,0.0,1.0
CameLIGO,1,0.0,0.0,0.0
Carbon,2,1.0,1.0,1.0
CartoCSS,1,1.0,1.0,1.0
Ceylon,1,1.0,1.0,1.0
Chapel,5,3.0,4.0,3.0
Charity,1,0.0,0.0,0.0
Checksums,18,0.0,0.0,0.0
Circom,3,3.0,3.0,3.0
Cirru,14,0.0,0.0,0.0
Clarion,4,3.0,3.0,3.0
Clarity,3,3.0,3.0,3.0
Classic ASP,2,0.0,0.0,0.0
Clean,9,7.0,8.0,7.0
Click,2,2.0,2.0,2.0
Clojure,10,10.0,10.0,10.0
Closure Templates,1,0.0,0.0,0.0
Cloud Firestore Security Rules,1,0.0,0.0,0.0
CoNLL-U,3,0.0,0.0,0.0
CodeQL,6,0.0,1.0,1.0
CoffeeScript,10,9.0,9.0,9.0
ColdFusion CFC,2,0.0,0.0,0.0
ColdFusion,1,1.0,1.0,1.0
Common Lisp,9,0.0,0.0,0.0
Common Workflow Language,1,0.0,0.0,0.0
Component Pascal,2,0.0,0.0,0.0
Cool,2,2.0,2.0,2.0
Coq,13,11.0,13.0,11.0
Creole,1,0.0,0.0,0.0
Crystal,3,3.0,3.0,3.0
Csound Document,3,0.0,0.0,0.0
Csound Score,3,0.0,0.0,0.0
Csound,3,3.0,3.0,3.0
Cuda,2,1.0,1.0,1.0
Cue Sheet,2,0.0,0.0,0.0
Curry,2,0.0,1.0,1.0
Cycript,1,1.0,0.0,1.0
Cylc,3,1.0,0.0,1.0
Cypher,4,4.0,4.0,4.0
D,9,6.0,6.0,6.0
D2,2,0.0,0.0,0.0
DIGITAL Command Language,4,0.0,0.0,0.0
DM,1,1.0,0.0,1.0
DNS Zone,2,0.0,0.0,0.0
DTrace,3,3.0,2.0,2.0
Dafny,2,2.0,2.0,2.0
Dart,1,1.0,1.0,1.0
DataWeave,5,3.0,3.0,3.0
Debian Package Control File,2,0.0,0.0,0.0
DenizenScript,2,0.0,0.0,0.0
Dhall,2,2.0,2.0,2.0
Diff,1,0.0,0.0,0.0
DirectX 3D File,1,0.0,0.0,0.0
Dockerfile,2,2.0,2.0,2.0
Dogescript,1,1.0,0.0,1.0
Dotenv,14,0.0,0.0,0.0
Dune,1,0.0,1.0,1.0
E-mail,1,0.0,0.0,0.0
E,7,7.0,6.0,7.0
EBNF,4,2.0,1.0,2.0
ECL,1,1.0,1.0,1.0
ECLiPSe,1,1.0,1.0,0.0
EJS,5,1.0,1.0,1.0
EQ,3,0.0,0.0,0.0
Eagle,2,0.0,0.0,0.0
Earthly,1,0.0,0.0,0.0
Easybuild,1,0.0,0.0,0.0
Ecmarkup,1,0.0,0.0,0.0
Edge,1,0.0,0.0,0.0
EdgeQL,2,1.0,1.0,2.0
EditorConfig,3,2.0,1.0,1.0
Edje Data Collection,1,0.0,0.0,0.0
Eiffel,7,7.0,7.0,7.0
Elixir,6,6.0,6.0,6.0
Elm,3,0.0,1.0,0.0
Elvish,1,1.0,1.0,1.0
Emacs Lisp,11,0.0,0.0,0.0
EmberScript,1,0.0,0.0,0.0
Erlang,16,15.0,16.0,15.0
Euphoria,10,10.0,10.0,10.0
F#,8,8.0,8.0,8.0
FIGlet Font,1,0.0,0.0,0.0
FIRRTL,2,1.0,1.0,1.0
FLUX,4,0.0,0.0,0.0
Fantom,2,1.0,1.0,1.0
Faust,2,2.0,2.0,2.0
Fennel,2,2.0,1.0,2.0
Filebench WML,1,0.0,0.0,0.0
Filterscript,2,0.0,0.0,0.0
Fluent,5,4.0,4.0,5.0
Formatted,3,0.0,0.0,0.0
Forth,16,16.0,16.0,16.0
Fortran,5,5.0,5.0,5.0
FreeBASIC,4,4.0,4.0,4.0
FreeMarker,2,2.0,2.0,2.0
Frege,4,2.0,3.0,2.0
Fstar,3,0.0,0.0,0.0
Futhark,1,1.0,1.0,1.0
G-code,3,0.0,0.0,0.0
GAML,6,5.0,6.0,5.0
GAMS,1,1.0,1.0,1.0
GAP,9,9.0,9.0,9.0
GCC Machine Description,1,0.0,0.0,0.0
GDB,2,1.0,2.0,1.0
GDScript,4,4.0,4.0,4.0
GEDCOM,1,1.0,1.0,1.0
GLSL,20,17.0,19.0,19.0
GN,11,9.0,8.0,8.0
GSC,6,4.0,4.0,4.0
Game Maker Language,11,0.0,0.0,0.0
Gemfile.lock,1,0.0,0.0,0.0
Gemini,1,0.0,0.0,0.0
Genero 4gl,3,0.0,0.0,0.0
Genero per,1,0.0,0.0,0.0
Genie,4,0.0,0.0,0.0
Gerber Image,18,0.0,0.0,0.0
Gherkin,2,2.0,2.0,2.0
Git Attributes,1,0.0,0.0,0.0
Git Config,3,0.0,0.0,0.0
Git Revision List,1,0.0,0.0,0.0
Gleam,2,2.0,2.0,2.0
Glimmer JS,2,0.0,0.0,0.0
Glimmer TS,2,0.0,0.0,0.0
Glyph Bitmap Distribution Format,1,0.0,0.0,0.0
Gnuplot,8,8.0,8.0,8.0
Go Checksums,2,0.0,0.0,0.0
Go Module,1,0.0,0.0,0.0
Go Workspace,1,0.0,0.0,0.0
Go,4,3.0,4.0,3.0
Godot Resource,5,0.0,0.0,0.0
Golo,27,9.0,9.0,9.0
Gosu,5,0.0,1.0,0.0
Grace,2,0.0,1.0,0.0
Gradle Kotlin DSL,1,0.0,0.0,0.0
Gradle,2,0.0,0.0,0.0
Grammatical Framework,41,0.0,0.0,0.0
Graph Modeling Language,3,0.0,0.0,0.0
GraphQL,4,4.0,4.0,4.0
Graphviz (DOT),2,0.0,0.0,0.0
Groovy Server Pages,4,0.0,0.0,0.0
Groovy,6,4.0,4.0,4.0
HAProxy,4,4.0,4.0,4.0
HCL,6,6.0,6.0,6.0
HLSL,5,5.0,5.0,5.0
HOCON,4,2.0,1.0,2.0
HTML+ECR,1,0.0,0.0,0.0
HTML+EEX,3,0.0,0.0,0.0
HTML+ERB,3,0.0,0.0,0.0
HTML+Razor,2,0.0,0.0,0.0
HTML,8,6.0,6.0,5.0
HXML,2,0.0,0.0,0.0
Hack,30,30.0,30.0,30.0
Haml,2,1.0,0.0,2.0
Handlebars,2,1.0,1.0,1.0
Hare,3,1.0,1.0,1.0
Haskell,5,5.0,5.0,5.0
HiveQL,2,2.0,1.0,2.0
HolyC,5,0.0,0.0,0.0
Hosts File,2,0.0,0.0,0.0
Hy,3,3.0,3.0,3.0
HyPhy,8,5.0,6.0,5.0
IDL,5,5.0,5.0,5.0
IGOR Pro,3,0.0,0.0,0.0
INI,17,4.0,3.0,5.0
Idris,1,1.0,1.0,1.0
Ignore List,21,0.0,0.0,0.0
ImageJ Macro,2,0.0,0.0,0.0
Imba,1,0.0,0.0,0.0
Inform 7,2,0.0,0.0,0.0
Ink,5,5.0,4.0,5.0
Inno Setup,2,0.0,0.0,0.0
Ioke,1,1.0,1.0,1.0
Isabelle ROOT,1,0.0,0.0,0.0
Isabelle,1,1.0,1.0,1.0
J,2,2.0,2.0,2.0
JAR Manifest,1,0.0,0.0,0.0
JCL,3,3.0,3.0,3.0
JFlex,2,0.0,0.0,1.0
JSON with Comments,27,0.0,0.0,0.0
JSON,36,22.0,19.0,24.0
JSON5,2,1.0,1.0,1.0
JSONLD,1,0.0,0.0,0.0
JSONiq,2,0.0,0.0,0.0
Janet,3,0.0,0.0,0.0
Jasmin,8,0.0,0.0,0.0
Java Properties,2,0.0,0.0,0.0
Java Template Engine,1,0.0,0.0,0.0
Java,11,11.0,11.0,11.0
JavaScript+ERB,1,0.0,0.0,0.0
JavaScript,40,38.0,36.0,38.0
Jest Snapshot,1,0.0,0.0,0.0
JetBrains MPS,3,0.0,0.0,0.0
Jinja,2,0.0,1.0,0.0
Jison Lex,2,0.0,0.0,0.0
Jison,3,2.0,1.0,2.0
Jolie,5,1.0,1.0,1.0
Jsonnet,1,1.0,1.0,1.0
Julia,2,2.0,2.0,2.0
Jupyter Notebook,1,0.0,0.0,0.0
Just,2,0.0,0.0,0.0
KRL,1,0.0,0.0,0.0
Kaitai Struct,2,0.0,0.0,0.0
KakouneScript,3,0.0,0.0,0.0
KerboScript,3,0.0,0.0,0.0
KiCad Layout,16,0.0,0.0,0.0
KiCad Legacy Layout,1,0.0,0.0,0.0
KiCad Schematic,7,0.0,0.0,0.0
Kickstart,3,2.0,2.0,2.0
Kit,1,0.0,1.0,1.0
Kotlin,1,1.0,1.0,1.0
Kusto,4,4.0,4.0,4.0
LFE,4,3.0,2.0,3.0
LOLCODE,1,1.0,1.0,1.0
LSL,2,2.0,2.0,2.0
LTspice Symbol,1,0.0,0.0,0.0
LabVIEW,11,6.0,10.0,7.0
Lark,3,1.0,2.0,1.0
Lasso,3,2.0,2.0,2.0
Latte,2,0.0,1.0,0.0
Lean 4,1,0.0,0.0,0.0
Lean,2,2.0,2.0,2.0
Less,1,1.0,1.0,1.0
Lex,2,0.0,0.0,0.0
LigoLANG,1,0.0,0.0,0.0
Limbo,3,3.0,3.0,3.0
Linker Script,4,0.0,0.0,0.0
Linux Kernel Module,3,0.0,0.0,0.0
Liquid,2,2.0,1.0,2.0
Literate Agda,1,0.0,0.0,0.0
Literate CoffeeScript,2,0.0,0.0,0.0
LiveCode Script,4,0.0,0.0,0.0
LiveScript,1,0.0,0.0,1.0
Logos,5,1.0,1.0,1.0
Logtalk,1,1.0,1.0,1.0
LookML,3,3.0,3.0,3.0
LoomScript,2,0.0,0.0,0.0
Lua,7,6.0,6.0,6.0
Luau,5,0.0,0.0,0.0
M,29,0.0,0.0,0.0
M4,5,5.0,5.0,5.0
M4Sugar,3,0.0,0.0,0.0
MATLAB,39,39.0,39.0,39.0
MAXScript,5,5.0,5.0,5.0
MDX,1,0.0,0.0,0.0
MLIR,4,4.0,4.0,4.0
MQL4,3,1.0,2.0,1.0
MQL5,3,1.0,1.0,1.0
MTML,1,0.0,0.0,0.0
MUF,2,0.0,0.0,0.0
Macaulay2,1,1.0,1.0,1.0
Makefile,12,10.0,12.0,10.0
Markdown,10,2.0,2.0,4.0
Marko,3,0.0,0.0,0.0
Mask,1,0.0,1.0,0.0
Mathematica,12,5.0,4.0,4.0
Maven POM,1,0.0,0.0,0.0
Max,3,3.0,1.0,3.0
Mercury,10,9.0,10.0,9.0
Mermaid,11,8.0,7.0,8.0
Meson,2,1.0,1.0,1.0
Metal,1,0.0,0.0,0.0
Microsoft Developer Studio Project,1,0.0,0.0,0.0
Microsoft Visual Studio Solution,1,0.0,0.0,0.0
MiniYAML,9,0.0,0.0,0.0
Mint,6,0.0,0.0,0.0
Modelica,12,12.0,12.0,12.0
Modula-2,1,0.0,0.0,0.0
Modula-3,5,0.0,0.0,0.0
Module Management System,5,0.0,0.0,0.0
Mojo,2,0.0,0.0,0.0
Monkey C,1,0.0,0.0,0.0
Monkey,5,1.0,0.0,1.0
Moocode,3,1.0,0.0,1.0
MoonBit,5,0.0,0.0,0.0
MoonScript,1,1.0,1.0,1.0
Motoko,2,2.0,2.0,2.0
Motorola 68K Assembly,6,0.0,0.0,0.0
Move,2,2.0,2.0,2.0
Muse,2,0.0,0.0,0.0
Mustache,4,0.0,0.0,0.0
NASL,10,10.0,9.0,10.0
NCL,16,15.0,15.0,14.0
NEON,2,0.0,0.0,0.0
NL,2,0.0,0.0,0.0
NMODL,2,0.0,0.0,0.0
NPM Config,1,0.0,0.0,0.0
NSIS,2,2.0,2.0,2.0
NWScript,6,3.0,5.0,2.0
Nasal,2,1.0,2.0,1.0
Nearley,1,0.0,0.0,0.0
Nemerle,1,0.0,0.0,0.0
NetLinx+ERB,2,0.0,0.0,0.0
NetLinx,2,1.0,0.0,0.0
NetLogo,1,1.0,1.0,1.0
NewLisp,3,1.0,2.0,1.0
Nextflow,4,4.0,3.0,4.0
Nginx,3,3.0,3.0,3.0
Nim,6,6.0,5.0,6.0
Nit,24,18.0,16.0,18.0
Nix,1,1.0,1.0,1.0
Noir,3,0.0,1.0,1.0
Nu,2,2.0,2.0,2.0
Nunjucks,1,0.0,0.0,0.0
Nushell,2,2.0,2.0,2.0
OASv2-json,1,0.0,0.0,0.0
OASv2-yaml,2,0.0,0.0,0.0
OASv3-json,1,0.0,0.0,0.0
OASv3-yaml,2,0.0,0.0,0.0
OCaml,10,10.0,10.0,10.0
Oberon,1,0.0,0.0,0.0
Object Data Instance Notation,1,0.0,0.0,0.0
ObjectScript,1,1.0,1.0,1.0
Objective-C++,2,0.0,0.0,0.0
Objective-C,22,0.0,0.0,0.0
Objective-J,3,0.0,0.0,0.0
Odin,1,1.0,1.0,1.0
Omgrofl,1,0.0,0.0,0.0
Opa,2,2.0,2.0,2.0
Opal,1,0.0,1.0,0.0
Open Policy Agent,4,0.0,0.0,0.0
OpenCL,2,0.0,0.0,0.0
OpenEdge ABL,6,0.0,0.0,0.0
OpenQASM,1,1.0,1.0,1.0
OpenRC runscript,1,0.0,0.0,0.0
OpenSCAD,2,2.0,2.0,2.0
OpenStep Property List,2,0.0,0.0,0.0
Option List,5,0.0,0.0,0.0
Org,1,0.0,0.0,0.0
Ox,3,1.0,1.0,1.0
Oxygene,1,1.0,1.0,1.0
Oz,1,1.0,1.0,1.0
P4,2,2.0,2.0,2.0
PDDL,3,3.0,3.0,3.0
PEG.js,2,0.0,0.0,0.0
PHP,19,19.0,19.0,19.0
PLSQL,8,0.0,0.0,0.0
PLpgSQL,7,0.0,0.0,0.0
POV-Ray SDL,12,0.0,0.0,0.0
Pact,2,2.0,2.0,2.0
Pan,18,2.0,3.0,2.0
Papyrus,3,3.0,3.0,3.0
Parrot Assembly,1,0.0,0.0,0.0
Parrot Internal Representation,1,0.0,0.0,0.0
Pascal,13,11.0,12.0,11.0
Pawn,7,6.0,6.0,6.0
Pep8,7,0.0,0.0,0.0
Perl,27,26.0,27.0,26.0
Pic,3,1.0,1.0,1.0
Pickle,4,0.0,0.0,0.0
PicoLisp,1,0.0,1.0,0.0
PigLatin,1,0.0,0.0,0.0
Pike,3,2.0,2.0,2.0
Pip Requirements,2,0.0,0.0,0.0
Pkl,3,1.0,0.0,0.0
PlantUML,7,7.0,7.0,7.0
Pod 6,1,0.0,0.0,0.0
Pod,4,0.0,0.0,0.0
PogoScript,1,0.0,0.0,0.0
Polar,2,0.0,0.0,0.0
Pony,6,6.0,6.0,6.0
Portugol,2,2.0,2.0,2.0
PostCSS,2,0.0,0.0,0.0
PostScript,3,3.0,3.0,3.0
PowerBuilder,6,5.0,5.0,5.0
PowerShell,4,4.0,4.0,4.0
Praat,3,3.0,3.0,3.0
Prisma,5,5.0,5.0,5.0
Processing,1,1.0,1.0,1.0
Procfile,1,0.0,0.0,0.0
Proguard,3,3.0,3.0,3.0
Prolog,10,10.0,10.0,10.0
Promela,7,7.0,7.0,7.0
Propeller Spin,10,0.0,0.0,0.0
Protocol Buffer Text Format,4,0.0,0.0,0.0
Protocol Buffer,1,0.0,0.0,0.0
Public Key,7,0.0,0.0,0.0
Pug,2,1.0,1.0,1.0
Puppet,5,5.0,5.0,5.0
PureBasic,2,2.0,2.0,2.0
PureScript,4,3.0,3.0,3.0
Pyret,1,0.0,1.0,0.0
Python,21,20.0,21.0,19.0
Q#,2,2.0,2.0,2.0
QML,1,1.0,1.0,1.0
QMake,4,4.0,4.0,4.0
Qt Script,2,0.0,0.0,0.0
Quake,2,0.0,0.0,0.0
QuickBASIC,3,0.0,0.0,0.0
R,8,8.0,8.0,8.0
RAML,1,1.0,1.0,1.0
RBS,1,0.0,0.0,0.0
RDoc,1,0.0,0.0,0.0
REXX,4,4.0,4.0,4.0
RMarkdown,2,1.0,1.0,1.0
RON,1,0.0,0.0,0.0
RPC,3,0.0,2.0,0.0
RPGLE,9,0.0,0.0,0.0
RPM Spec,3,0.0,0.0,0.0
RUNOFF,4,0.0,0.0,0.0
Racket,2,2.0,2.0,2.0
Ragel,3,0.0,0.0,0.0
Raku,24,15.0,13.0,15.0
Rascal,5,3.0,3.0,3.0
ReScript,1,0.0,0.0,0.0
Readline Config,1,0.0,0.0,0.0
Reason,6,0.0,0.0,0.0
ReasonLIGO,1,0.0,0.0,0.0
Rebol,6,6.0,6.0,6.0
Record Jar,1,0.0,0.0,0.0
Red,2,1.0,1.0,1.0
Redirect Rules,1,0.0,0.0,0.0
Regular Expression,4,0.0,0.0,0.0
RenPy,1,0.0,0.0,0.0
RenderScript,2,1.0,2.0,1.0
Rez,3,2.0,2.0,2.0
Rich Text Format,2,0.0,0.0,0.0
Ring,4,1.0,1.0,1.0
Riot,2,0.0,0.0,0.0
RobotFramework,4,0.0,0.0,0.0
Roc,4,0.0,0.0,0.0
Roff Manpage,12,0.0,0.0,0.0
Roff,18,3.0,4.0,1.0
RouterOS Script,4,0.0,0.0,0.0
Ruby,39,39.0,39.0,39.0
Rust,4,4.0,4.0,4.0
SAS,3,3.0,3.0,3.0
SCSS,1,1.0,0.0,1.0
SELinux Policy,4,0.0,0.0,0.0
SMT,4,3.0,2.0,3.0
SPARQL,2,2.0,2.0,2.0
SQF,2,2.0,1.0,2.0
SQL,14,10.0,12.0,10.0
SQLPL,6,0.0,0.0,0.0
SRecode Template,1,0.0,0.0,0.0
SSH Config,6,0.0,0.0,0.0
STAR,3,0.0,0.0,1.0
STON,7,0.0,0.0,0.0
SWIG,3,0.0,0.0,0.0
Sage,1,0.0,0.0,0.0
SaltStack,6,1.0,1.0,1.0
Sass,1,1.0,1.0,1.0
Scala,7,7.0,7.0,5.0
Scaml,1,0.0,0.0,0.0
Scenic,4,3.0,2.0,3.0
Scheme,4,3.0,4.0,3.0
Scilab,3,2.0,1.0,2.0
ShaderLab,3,0.0,0.0,0.0
Shell,55,33.0,31.0,34.0
ShellCheck Config,1,0.0,0.0,0.0
ShellSession,3,0.0,0.0,0.0
Shen,3,2.0,2.0,2.0
Sieve,11,11.0,11.0,11.0
Simple File Verification,2,0.0,0.0,0.0
Singularity,1,0.0,0.0,0.0
Slash,1,0.0,0.0,0.0
Slice,3,1.0,1.0,1.0
Slim,1,1.0,1.0,1.0
Slint,3,1.0,1.0,1.0
SmPL,1,0.0,0.0,0.0
Smali,7,7.0,7.0,7.0
Smalltalk,10,10.0,10.0,10.0
Smithy,1,1.0,1.0,1.0
Snakemake,4,4.0,4.0,4.0
Soong,1,1.0,1.0,1.0
SourcePawn,3,3.0,3.0,2.0
Squirrel,1,1.0,1.0,1.0
Stan,3,3.0,3.0,3.0
Standard ML,5,0.0,0.0,0.0
Starlark,11,7.0,9.0,7.0
Stata,7,3.0,3.0,3.0
StringTemplate,1,0.0,0.0,0.0
Stylus,1,0.0,0.0,0.0
SubRip Text,1,0.0,0.0,0.0
SugarSS,1,0.0,0.0,0.0
SuperCollider,5,5.0,5.0,5.0
Svelte,1,0.0,1.0,0.0
Sway,5,3.0,3.0,3.0
Sweave,2,0.0,0.0,0.0
Swift,43,40.0,40.0,41.0
SystemVerilog,4,2.0,2.0,2.0
TI Program,7,0.0,0.0,0.0
TL-Verilog,2,0.0,0.0,0.0
TLA,2,0.0,0.0,0.0
TOML,7,2.0,2.0,2.0
TSPLIB data,2,0.0,0.0,0.0
TSQL,4,0.0,0.0,0.0
TSV,3,0.0,0.0,0.0
TSX,4,0.0,0.0,0.0
TXL,1,1.0,1.0,1.0
Tact,2,0.0,0.0,0.0
Talon,2,0.0,0.0,0.0
Tcl,7,7.0,7.0,7.0
Tcsh,1,0.0,0.0,0.0
TeX,7,0.0,1.0,0.0
Tea,1,0.0,0.0,0.0
Terra,3,3.0,3.0,3.0
Terraform Template,2,0.0,0.0,0.0
Texinfo,1,0.0,0.0,0.0
Text,26,0.0,0.0,0.0
TextGrid,3,0.0,0.0,0.0
TextMate Properties,1,0.0,0.0,0.0
Thrift,1,1.0,1.0,1.0
Toit,3,1.0,2.0,1.0
Turing,4,3.0,3.0,3.0
Turtle,2,2.0,1.0,2.0
Type Language,2,0.0,0.0,0.0
TypeScript,6,4.0,4.0,4.0
TypeSpec,2,2.0,2.0,2.0
Typst,2,2.0,1.0,0.0
Unity3D Asset,6,0.0,0.0,0.0
Unix Assembly,4,0.0,0.0,0.0
Uno,3,1.0,0.0,1.0
UnrealScript,2,2.0,2.0,2.0
UrWeb,2,0.0,0.0,0.0
V,9,8.0,8.0,8.0
VBA,10,6.0,7.0,5.0
VBScript,1,1.0,1.0,1.0
VCL,2,2.0,2.0,2.0
VHDL,1,1.0,1.0,1.0
Valve Data Format,1,0.0,0.0,0.0
Velocity Template Language,3,0.0,0.0,0.0
Verilog,14,14.0,14.0,14.0
Vim Help File,1,0.0,0.0,0.0
Vim Script,9,0.0,0.0,0.0
Vim Snippet,2,0.0,0.0,0.0
Visual Basic .NET,3,0.0,0.0,0.0
Visual Basic 6.0,11,0.0,0.0,0.0
Volt,1,0.0,0.0,0.0
Vue,2,0.0,0.0,0.0
Vyper,5,5.0,5.0,4.0
WDL,4,4.0,4.0,4.0
WGSL,1,1.0,1.0,1.0
Wavefront Material,4,0.0,0.0,0.0
Wavefront Object,5,0.0,0.0,0.0
Web Ontology Language,1,0.0,0.0,0.0
WebAssembly Interface Type,1,0.0,0.0,0.0
WebAssembly,6,6.0,6.0,6.0
WebIDL,2,0.0,0.0,0.0
WebVTT,3,0.0,1.0,0.0
Wget Config,1,0.0,0.0,0.0
Whiley,3,2.0,2.0,2.0
Wikitext,2,0.0,0.0,0.0
Win32 Message File,1,0.0,0.0,0.0
Windows Registry Entries,1,0.0,0.0,0.0
Witcher Script,2,0.0,0.0,0.0
Wollok,2,0.0,0.0,0.0
World of Warcraft Addon Data,3,0.0,0.0,0.0
Wren,1,1.0,0.0,1.0
X BitMap,1,0.0,0.0,0.0
X Font Directory Index,4,0.0,0.0,0.0
X PixMap,2,0.0,0.0,0.0
X10,18,18.0,16.0,18.0
XC,1,0.0,0.0,0.0
XCompose,1,0.0,1.0,0.0
XML Property List,10,0.0,0.0,0.0
XML,73,46.0,47.0,48.0
XPages,2,0.0,0.0,0.0
XProc,1,1.0,1.0,1.0
XQuery,1,1.0,1.0,1.0
XS,1,0.0,0.0,0.0
XSLT,1,1.0,1.0,1.0
Xojo,6,2.0,2.0,2.0
Xonsh,1,0.0,1.0,0.0
Xtend,2,2.0,2.0,2.0
YAML,16,10.0,11.0,10.0
YANG,1,1.0,1.0,1.0
YARA,3,3.0,3.0,3.0
YASnippet,2,0.0,0.0,0.0
Yacc,1,0.0,0.0,0.0
Yul,2,1.0,1.0,1.0
ZAP,1,0.0,0.0,0.0
ZIL,1,1.0,1.0,1.0
Zeek,3,3.0,3.0,3.0
ZenScript,1,1.0,1.0,1.0
Zephir,2,1.0,0.0,1.0
Zig,4,4.0,4.0,4.0
Zimpl,1,1.0,1.0,1.0
cURL Config,1,0.0,0.0,0.0
crontab,1,0.0,0.0,0.0
desktop,2,1.0,1.0,1.0
dircolors,1,0.0,1.0,0.0
eC,1,0.0,0.0,0.0
edn,1,0.0,0.0,0.0
fish,3,3.0,3.0,3.0
hoon,2,2.0,2.0,2.0
iCalendar,2,2.0,0.0,2.0
jq,2,2.0,2.0,2.0
kvlang,1,0.0,0.0,0.0
mIRC Script,4,0.0,0.0,0.0
mcfunction,1,0.0,0.0,0.0
modelio-open-source-5.4.1_amd64.deb,1,0.0,0.0,0.0
nanorc,3,1.0,0.0,1.0
omnetpp-msg,3,0.0,0.0,0.0
omnetpp-ned,3,0.0,0.0,0.0
q,2,2.0,2.0,2.0
reStructuredText,1,0.0,1.0,0.0
robots.txt,1,0.0,0.0,0.0
sed,1,1.0,1.0,1.0
templ,1,0.0,0.0,0.0
vCard,2,2.0,2.0,1.0
wisp,1,1.0,0.0,1.0
xBase,3,0.0,0.0,0.0
