,ground-truth,claude-3-5-sonnet-beg2000,claude-3-5-sonnet-end2000,claude-3-5-sonnet-mid2000
Fortran,100.0,100.0,100.0,100.0
FreeBASIC,100.0,100.0,75.0,100.0
FreeMarker,100.0,100.0,100.0,100.0
Frege,100.0,50.0,75.0,50.0
Fstar,100.0,0.0,0.0,0.0
Futhark,100.0,100.0,0.0,100.0
G-code,100.0,0.0,0.0,0.0
GAML,100.0,100.0,100.0,100.0
GAMS,100.0,100.0,100.0,100.0
GAP,100.0,100.0,100.0,100.0
GCC Machine Description,100.0,0.0,0.0,0.0
GDB,100.0,100.0,50.0,100.0
GDScript,100.0,100.0,100.0,50.0
GEDCOM,100.0,100.0,100.0,100.0
GLSL,100.0,100.0,100.0,100.0
GN,100.0,72.72727272727273,90.9090909090909,63.63636363636363
GSC,100.0,33.333333333333336,16.666666666666668,33.333333333333336
Game Maker Language,100.0,0.0,0.0,0.0
Gemfile.lock,100.0,0.0,0.0,0.0
Gemini,100.0,0.0,0.0,0.0
Genero 4gl,100.0,0.0,0.0,0.0
Genero per,100.0,0.0,0.0,0.0
Genie,100.0,0.0,0.0,0.0
Gerber Image,100.0,0.0,0.0,0.0
Gherkin,100.0,100.0,100.0,50.0
Git Attributes,100.0,0.0,0.0,0.0
Git Config,100.0,0.0,0.0,0.0
Git Revision List,100.0,0.0,0.0,0.0
Gleam,100.0,100.0,100.0,100.0
Glimmer JS,100.0,0.0,0.0,0.0
Glimmer TS,100.0,0.0,0.0,0.0
Glyph Bitmap Distribution Format,100.0,0.0,0.0,0.0
Gnuplot,100.0,100.0,87.5,100.0
Go Checksums,100.0,0.0,0.0,0.0
Go Module,100.0,0.0,0.0,0.0
Go Workspace,100.0,0.0,0.0,0.0
Go,100.0,75.0,100.0,75.0
Godot Resource,100.0,0.0,0.0,0.0
Golo,100.0,88.88888888888889,66.66666666666667,92.5925925925926
Gosu,100.0,80.0,80.0,80.0
Grace,100.0,100.0,50.0,100.0
Gradle Kotlin DSL,100.0,0.0,0.0,0.0
Gradle,100.0,0.0,0.0,0.0
Grammatical Framework,100.0,0.0,0.0,0.0
Graph Modeling Language,100.0,0.0,0.0,0.0
GraphQL,100.0,100.0,75.0,100.0
Graphviz (DOT),100.0,0.0,0.0,0.0
Groovy Server Pages,100.0,0.0,0.0,0.0
Groovy,100.0,66.66666666666667,66.66666666666667,66.66666666666667
HAProxy,100.0,100.0,100.0,100.0
HCL,100.0,83.33333333333333,100.0,83.33333333333333
HLSL,100.0,100.0,100.0,100.0
HOCON,100.0,50.0,50.0,50.0
HTML+ECR,100.0,0.0,0.0,0.0
HTML+EEX,100.0,0.0,0.0,0.0
HTML+ERB,100.0,0.0,0.0,0.0
HTML+Razor,100.0,0.0,0.0,0.0
HTML,100.0,75.0,100.0,75.0
HXML,100.0,0.0,0.0,0.0
Hack,100.0,93.33333333333333,96.66666666666667,93.33333333333333
Haml,100.0,50.0,50.0,0.0
Handlebars,100.0,50.0,50.0,50.0
Hare,100.0,100.0,100.0,100.0
Haskell,100.0,100.0,100.0,100.0
HiveQL,100.0,100.0,100.0,100.0
HolyC,100.0,60.0,40.0,60.0
Hosts File,100.0,0.0,0.0,0.0
Hy,100.0,100.0,100.0,100.0
HyPhy,100.0,87.5,62.5,87.5
IDL,100.0,100.0,100.0,100.0
IGOR Pro,100.0,0.0,0.0,0.0
INI,100.0,70.58823529411765,58.8235294117647,70.58823529411765
Idris,100.0,100.0,100.0,100.0
Ignore List,100.0,0.0,0.0,0.0
ImageJ Macro,100.0,0.0,0.0,0.0
Imba,100.0,0.0,0.0,0.0
Inform 7,100.0,0.0,0.0,0.0
Ink,100.0,100.0,80.0,100.0
Inno Setup,100.0,0.0,0.0,0.0
Ioke,100.0,100.0,100.0,100.0
Isabelle ROOT,100.0,0.0,0.0,0.0
Isabelle,100.0,100.0,100.0,100.0
J,100.0,100.0,100.0,100.0
JAR Manifest,100.0,0.0,0.0,0.0
JCL,100.0,100.0,100.0,100.0
JFlex,100.0,0.0,0.0,0.0
JSON with Comments,100.0,0.0,0.0,0.0
JSON,100.0,88.88888888888889,97.22222222222223,80.55555555555556
JSON5,100.0,50.0,50.0,50.0
JSONLD,100.0,0.0,0.0,0.0
JSONiq,100.0,0.0,0.0,0.0
Janet,100.0,100.0,100.0,100.0
Jasmin,100.0,0.0,0.0,0.0
Java Properties,100.0,0.0,0.0,0.0
Java Template Engine,100.0,0.0,0.0,0.0
Java,100.0,100.0,100.0,100.0
JavaScript+ERB,100.0,0.0,0.0,0.0
JavaScript,100.0,95.0,92.5,95.0
Jest Snapshot,100.0,0.0,0.0,0.0
JetBrains MPS,100.0,0.0,0.0,0.0
Jinja,100.0,0.0,0.0,0.0
Jison Lex,100.0,0.0,0.0,0.0
Jison,100.0,66.66666666666667,33.333333333333336,66.66666666666667
Jolie,100.0,100.0,100.0,100.0
Jsonnet,100.0,100.0,100.0,100.0
Julia,100.0,100.0,100.0,100.0
Jupyter Notebook,100.0,0.0,0.0,0.0
Just,100.0,100.0,0.0,100.0
KRL,100.0,100.0,100.0,100.0
Kaitai Struct,100.0,0.0,0.0,0.0
KakouneScript,100.0,0.0,0.0,0.0
KerboScript,100.0,0.0,33.333333333333336,0.0
KiCad Layout,100.0,0.0,0.0,0.0
KiCad Legacy Layout,100.0,0.0,0.0,0.0
KiCad Schematic,100.0,0.0,0.0,0.0
Kickstart,100.0,66.66666666666667,66.66666666666667,33.333333333333336
Kit,100.0,0.0,0.0,0.0
Kotlin,100.0,100.0,100.0,100.0
Kusto,100.0,50.0,50.0,25.0
LFE,100.0,75.0,0.0,75.0
LOLCODE,100.0,100.0,100.0,100.0
LSL,100.0,100.0,100.0,100.0
LTspice Symbol,100.0,0.0,0.0,0.0
LabVIEW,100.0,36.36363636363637,36.36363636363637,27.272727272727273
Lark,100.0,33.333333333333336,0.0,33.333333333333336
Lasso,100.0,66.66666666666667,66.66666666666667,66.66666666666667
Latte,100.0,0.0,50.0,0.0
Lean 4,100.0,0.0,0.0,0.0
Lean,100.0,100.0,100.0,100.0
Less,100.0,100.0,100.0,100.0
Lex,100.0,0.0,50.0,0.0
LigoLANG,100.0,0.0,0.0,0.0
Limbo,100.0,100.0,100.0,100.0
Linker Script,100.0,0.0,0.0,0.0
Linux Kernel Module,100.0,0.0,0.0,0.0
Liquid,100.0,100.0,100.0,100.0
Literate Agda,100.0,0.0,0.0,0.0
Literate CoffeeScript,100.0,0.0,0.0,0.0
LiveCode Script,100.0,0.0,0.0,0.0
LiveScript,100.0,100.0,100.0,100.0
Logos,100.0,0.0,0.0,0.0
Logtalk,100.0,100.0,100.0,100.0
LookML,100.0,100.0,66.66666666666667,100.0
LoomScript,100.0,0.0,0.0,0.0
Lua,100.0,85.71428571428571,85.71428571428571,85.71428571428571
Luau,100.0,0.0,0.0,0.0
M,100.0,0.0,3.4482758620689653,0.0
M4,100.0,100.0,100.0,100.0
M4Sugar,100.0,0.0,0.0,0.0
MATLAB,100.0,100.0,97.43589743589743,97.43589743589743
MAXScript,100.0,100.0,100.0,100.0
MDX,100.0,0.0,0.0,0.0
MLIR,100.0,75.0,75.0,75.0
MQL4,100.0,100.0,100.0,100.0
MQL5,100.0,0.0,0.0,0.0
MTML,100.0,0.0,0.0,0.0
MUF,100.0,0.0,0.0,0.0
Macaulay2,100.0,100.0,100.0,100.0
Makefile,100.0,50.0,58.333333333333336,50.0
Markdown,100.0,50.0,60.0,50.0
Marko,100.0,33.333333333333336,33.333333333333336,33.333333333333336
Mask,100.0,0.0,0.0,0.0
Mathematica,100.0,66.66666666666667,91.66666666666667,75.0
Maven POM,100.0,0.0,0.0,0.0
Max,100.0,33.333333333333336,33.333333333333336,33.333333333333336
Mercury,100.0,100.0,90.0,100.0
Mermaid,100.0,90.9090909090909,81.81818181818181,81.81818181818181
Meson,100.0,100.0,50.0,100.0
Metal,100.0,100.0,100.0,100.0
Microsoft Developer Studio Project,100.0,0.0,0.0,0.0
Microsoft Visual Studio Solution,100.0,0.0,0.0,0.0
MiniYAML,100.0,0.0,0.0,0.0
Mint,100.0,100.0,100.0,100.0
Modelica,100.0,100.0,91.66666666666667,100.0
Modula-2,100.0,0.0,0.0,0.0
Modula-3,100.0,0.0,0.0,0.0
Module Management System,100.0,0.0,0.0,0.0
Mojo,100.0,100.0,100.0,100.0
Monkey C,100.0,0.0,0.0,0.0
Monkey,100.0,80.0,80.0,80.0
Moocode,100.0,0.0,0.0,0.0
MoonBit,100.0,40.0,20.0,40.0
MoonScript,100.0,100.0,100.0,100.0
Motoko,100.0,100.0,100.0,100.0
Motorola 68K Assembly,100.0,0.0,0.0,0.0
Move,100.0,100.0,100.0,100.0
Muse,100.0,0.0,0.0,0.0
Mustache,100.0,0.0,0.0,0.0
NASL,100.0,90.0,100.0,90.0
NCL,100.0,81.25,81.25,81.25
NEON,100.0,0.0,0.0,0.0
NL,100.0,0.0,0.0,0.0
NMODL,100.0,100.0,100.0,100.0
NPM Config,100.0,0.0,0.0,0.0
NSIS,100.0,100.0,100.0,100.0
NWScript,100.0,66.66666666666667,66.66666666666667,83.33333333333333
Nasal,100.0,50.0,50.0,50.0
Nearley,100.0,0.0,0.0,0.0
Nemerle,100.0,0.0,0.0,0.0
NetLinx+ERB,100.0,0.0,0.0,0.0
NetLinx,100.0,0.0,50.0,50.0
NetLogo,100.0,100.0,100.0,100.0
NewLisp,100.0,66.66666666666667,33.333333333333336,33.333333333333336
Nextflow,100.0,100.0,75.0,100.0
Nginx,100.0,100.0,100.0,100.0
Nim,100.0,83.33333333333333,66.66666666666667,83.33333333333333
Nit,100.0,83.33333333333333,79.16666666666667,83.33333333333333
Nix,100.0,100.0,100.0,100.0
Noir,100.0,33.333333333333336,33.333333333333336,33.333333333333336
Nu,100.0,100.0,100.0,100.0
Nunjucks,100.0,0.0,0.0,0.0
Nushell,100.0,100.0,100.0,100.0
OASv2-json,100.0,0.0,0.0,0.0
OASv2-yaml,100.0,0.0,0.0,0.0
OASv3-json,100.0,0.0,0.0,0.0
OASv3-yaml,100.0,0.0,0.0,0.0
OCaml,100.0,100.0,100.0,100.0
Oberon,100.0,0.0,0.0,0.0
Object Data Instance Notation,100.0,0.0,0.0,0.0
ObjectScript,100.0,100.0,100.0,100.0
Objective-C++,100.0,0.0,0.0,0.0
Objective-C,100.0,0.0,0.0,0.0
Objective-J,100.0,0.0,0.0,0.0
Odin,100.0,100.0,100.0,100.0
Omgrofl,100.0,0.0,0.0,0.0
Opa,100.0,50.0,100.0,100.0
Opal,100.0,0.0,0.0,0.0
Open Policy Agent,100.0,0.0,0.0,0.0
OpenCL,100.0,50.0,50.0,50.0
OpenEdge ABL,100.0,0.0,0.0,0.0
OpenQASM,100.0,0.0,0.0,0.0
OpenRC runscript,100.0,0.0,0.0,0.0
OpenSCAD,100.0,100.0,100.0,100.0
OpenStep Property List,100.0,0.0,0.0,0.0
Option List,100.0,0.0,0.0,0.0
Org,100.0,0.0,0.0,0.0
Ox,100.0,0.0,0.0,0.0
Oxygene,100.0,0.0,0.0,0.0
Oz,100.0,100.0,100.0,100.0
P4,100.0,100.0,100.0,100.0
PDDL,100.0,100.0,100.0,100.0
PEG.js,100.0,0.0,0.0,0.0
PHP,100.0,100.0,100.0,94.73684210526316
PLSQL,100.0,25.0,25.0,25.0
PLpgSQL,100.0,0.0,0.0,0.0
POV-Ray SDL,100.0,0.0,0.0,0.0
Pact,100.0,0.0,50.0,0.0
Pan,100.0,83.33333333333333,77.77777777777777,83.33333333333333
Papyrus,100.0,100.0,100.0,100.0
Parrot Assembly,100.0,0.0,0.0,0.0
Parrot Internal Representation,100.0,0.0,0.0,0.0
Pascal,100.0,100.0,100.0,100.0
Pawn,100.0,100.0,100.0,100.0
Pep8,100.0,0.0,0.0,0.0
Perl,100.0,96.29629629629629,100.0,96.29629629629629
Pic,100.0,66.66666666666667,33.333333333333336,66.66666666666667
Pickle,100.0,0.0,0.0,0.0
PicoLisp,100.0,0.0,0.0,0.0
PigLatin,100.0,0.0,0.0,0.0
Pike,100.0,100.0,100.0,100.0
Pip Requirements,100.0,0.0,0.0,0.0
Pkl,100.0,66.66666666666667,66.66666666666667,66.66666666666667
PlantUML,100.0,100.0,100.0,100.0
Pod 6,100.0,0.0,0.0,0.0
Pod,100.0,0.0,0.0,0.0
PogoScript,100.0,0.0,0.0,0.0
Polar,100.0,0.0,50.0,50.0
Pony,100.0,100.0,100.0,100.0
Portugol,100.0,100.0,100.0,100.0
PostCSS,100.0,50.0,50.0,50.0
PostScript,100.0,100.0,100.0,100.0
PowerBuilder,100.0,100.0,100.0,83.33333333333333
PowerShell,100.0,100.0,100.0,100.0
Praat,100.0,100.0,100.0,100.0
Prisma,100.0,100.0,100.0,100.0
Processing,100.0,100.0,100.0,100.0
Procfile,100.0,0.0,0.0,0.0
Proguard,100.0,100.0,100.0,100.0
Prolog,100.0,100.0,100.0,100.0
Promela,100.0,100.0,100.0,100.0
Propeller Spin,100.0,0.0,0.0,0.0
Protocol Buffer Text Format,100.0,0.0,0.0,0.0
Protocol Buffer,100.0,0.0,0.0,0.0
Public Key,100.0,0.0,0.0,0.0
Pug,100.0,50.0,50.0,50.0
Puppet,100.0,100.0,100.0,100.0
PureBasic,100.0,100.0,100.0,100.0
PureScript,100.0,100.0,100.0,100.0
Pyret,100.0,100.0,100.0,100.0
Python,100.0,90.47619047619048,100.0,90.47619047619048
Q#,100.0,100.0,100.0,100.0
QML,100.0,100.0,0.0,0.0
QMake,100.0,100.0,100.0,100.0
Qt Script,100.0,0.0,0.0,0.0
Quake,100.0,0.0,0.0,0.0
QuickBASIC,100.0,0.0,0.0,0.0
R,100.0,100.0,100.0,100.0
RAML,100.0,100.0,100.0,100.0
RBS,100.0,0.0,0.0,0.0
RDoc,100.0,0.0,0.0,0.0
REXX,100.0,100.0,100.0,100.0
RMarkdown,100.0,0.0,0.0,0.0
RON,100.0,0.0,0.0,0.0
RPC,100.0,0.0,33.333333333333336,0.0
RPGLE,100.0,11.11111111111111,11.11111111111111,11.11111111111111
RPM Spec,100.0,0.0,0.0,0.0
RUNOFF,100.0,0.0,0.0,0.0
Racket,100.0,50.0,50.0,50.0
Ragel,100.0,0.0,0.0,0.0
Raku,100.0,20.833333333333332,12.5,16.666666666666668
Rascal,100.0,100.0,100.0,100.0
ReScript,100.0,0.0,0.0,0.0
Readline Config,100.0,0.0,0.0,0.0
Reason,100.0,16.666666666666668,0.0,16.666666666666668
ReasonLIGO,100.0,0.0,0.0,0.0
Rebol,100.0,100.0,100.0,100.0
Record Jar,100.0,0.0,0.0,0.0
Red,100.0,100.0,100.0,50.0
Redirect Rules,100.0,0.0,0.0,0.0
Regular Expression,100.0,0.0,0.0,0.0
RenPy,100.0,0.0,0.0,0.0
RenderScript,100.0,100.0,100.0,100.0
Rez,100.0,66.66666666666667,33.333333333333336,66.66666666666667
Rich Text Format,100.0,0.0,0.0,0.0
Ring,100.0,100.0,100.0,100.0
Riot,100.0,0.0,0.0,0.0
RobotFramework,100.0,0.0,0.0,0.0
Roc,100.0,100.0,75.0,100.0
Roff Manpage,100.0,0.0,0.0,0.0
Roff,100.0,5.555555555555555,11.11111111111111,5.555555555555555
RouterOS Script,100.0,0.0,0.0,0.0
Ruby,100.0,97.43589743589743,97.43589743589743,97.43589743589743
Rust,100.0,100.0,100.0,100.0
SAS,100.0,100.0,100.0,100.0
SCSS,100.0,100.0,100.0,100.0
SELinux Policy,100.0,0.0,0.0,0.0
SMT,100.0,75.0,75.0,75.0
SPARQL,100.0,100.0,100.0,100.0
SQF,100.0,50.0,50.0,50.0
SQL,100.0,85.71428571428571,85.71428571428571,85.71428571428571
SQLPL,100.0,0.0,0.0,0.0
SRecode Template,100.0,0.0,0.0,0.0
SSH Config,100.0,0.0,0.0,0.0
STAR,100.0,66.66666666666667,66.66666666666667,66.66666666666667
STON,100.0,0.0,0.0,0.0
SWIG,100.0,0.0,33.333333333333336,0.0
Sage,100.0,0.0,0.0,0.0
SaltStack,100.0,0.0,0.0,0.0
Sass,100.0,100.0,100.0,100.0
Scala,100.0,100.0,100.0,100.0
Scaml,100.0,0.0,0.0,0.0
Scenic,100.0,0.0,0.0,0.0
Scheme,100.0,75.0,100.0,75.0
Scilab,100.0,66.66666666666667,66.66666666666667,66.66666666666667
ShaderLab,100.0,0.0,0.0,0.0
Shell,100.0,47.27272727272727,47.27272727272727,45.45454545454545
ShellCheck Config,100.0,0.0,0.0,0.0
ShellSession,100.0,0.0,0.0,0.0
Shen,100.0,100.0,66.66666666666667,100.0
Sieve,100.0,100.0,100.0,100.0
Simple File Verification,100.0,0.0,0.0,0.0
Singularity,100.0,0.0,0.0,0.0
Slash,100.0,0.0,0.0,0.0
Slice,100.0,33.333333333333336,33.333333333333336,66.66666666666667
Slim,100.0,100.0,100.0,100.0
Slint,100.0,100.0,66.66666666666667,100.0
SmPL,100.0,0.0,0.0,0.0
Smali,100.0,57.142857142857146,57.142857142857146,42.857142857142854
Smalltalk,100.0,100.0,90.0,100.0
Smithy,100.0,100.0,100.0,100.0
Snakemake,100.0,25.0,0.0,25.0
Soong,100.0,0.0,0.0,0.0
SourcePawn,100.0,100.0,100.0,100.0
Squirrel,100.0,100.0,100.0,100.0
Stan,100.0,100.0,100.0,100.0
Standard ML,100.0,0.0,0.0,0.0
Starlark,100.0,54.54545454545455,45.45454545454545,45.45454545454545
Stata,100.0,57.142857142857146,57.142857142857146,57.142857142857146
StringTemplate,100.0,0.0,0.0,0.0
Stylus,100.0,100.0,100.0,100.0
SubRip Text,100.0,0.0,0.0,0.0
SugarSS,100.0,0.0,0.0,0.0
SuperCollider,100.0,100.0,80.0,100.0
Svelte,100.0,0.0,100.0,0.0
Sway,100.0,0.0,0.0,0.0
Sweave,100.0,0.0,0.0,0.0
Swift,100.0,90.69767441860465,90.69767441860465,93.02325581395348
SystemVerilog,100.0,0.0,0.0,0.0
TI Program,100.0,0.0,0.0,0.0
TL-Verilog,100.0,0.0,0.0,0.0
TLA,100.0,0.0,0.0,0.0
TOML,100.0,57.142857142857146,71.42857142857143,57.142857142857146
TSPLIB data,100.0,0.0,0.0,0.0
TSQL,100.0,0.0,0.0,0.0
TSV,100.0,0.0,0.0,0.0
TSX,100.0,0.0,0.0,0.0
TXL,100.0,100.0,100.0,100.0
Tact,100.0,0.0,0.0,0.0
Talon,100.0,0.0,0.0,0.0
Tcl,100.0,100.0,100.0,100.0
Tcsh,100.0,0.0,0.0,0.0
TeX,100.0,0.0,0.0,0.0
Tea,100.0,0.0,0.0,0.0
Terra,100.0,100.0,66.66666666666667,100.0
Terraform Template,100.0,0.0,0.0,0.0
Texinfo,100.0,0.0,0.0,0.0
Text,100.0,15.384615384615385,11.538461538461538,19.23076923076923
TextGrid,100.0,0.0,100.0,0.0
TextMate Properties,100.0,0.0,0.0,0.0
Thrift,100.0,100.0,100.0,100.0
Toit,100.0,100.0,100.0,100.0
Turing,100.0,100.0,100.0,100.0
Turtle,100.0,100.0,0.0,50.0
Type Language,100.0,0.0,0.0,0.0
TypeScript,100.0,83.33333333333333,83.33333333333333,83.33333333333333
TypeSpec,100.0,100.0,100.0,100.0
Typst,100.0,100.0,50.0,100.0
Unity3D Asset,100.0,0.0,0.0,0.0
Unix Assembly,100.0,0.0,0.0,0.0
Uno,100.0,0.0,0.0,0.0
UnrealScript,100.0,100.0,100.0,100.0
UrWeb,100.0,0.0,0.0,0.0
V,100.0,88.88888888888889,88.88888888888889,88.88888888888889
VBA,100.0,90.0,100.0,90.0
VBScript,100.0,100.0,100.0,100.0
VCL,100.0,100.0,100.0,100.0
VHDL,100.0,100.0,100.0,100.0
Valve Data Format,100.0,0.0,0.0,0.0
Velocity Template Language,100.0,0.0,0.0,0.0
Verilog,100.0,100.0,100.0,100.0
Vim Help File,100.0,0.0,0.0,0.0
Vim Script,100.0,0.0,0.0,0.0
Vim Snippet,100.0,0.0,0.0,0.0
Visual Basic .NET,100.0,0.0,0.0,0.0
Visual Basic 6.0,100.0,0.0,0.0,0.0
