,ground-truth,claude-3-5,claude-haiku-4-5,codestral-2508,deepseek-chat-v3-1,gemini-2.5-pro,gpt-4o,gpt-4o-mini,llama-3-2-3b-instruct,meta-llama,qwen-2-5-7b-instruct,starcoder2-3B-2000mid
Ballerina,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0
Beef,3,2.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Befunge,5,5.0,5.0,1.0,5.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0
Berry,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BibTeX,2,2.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0
Bicep,3,3.0,3.0,3.0,2.0,3.0,3.0,3.0,0.0,1.0,0.0,0.0
Bikeshed,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BitBake,6,5.0,5.0,0.0,5.0,5.0,5.0,4.0,0.0,2.0,0.0,0.0
Blade,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BlitzBasic,3,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BlitzMax,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
Bluespec BH,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bluespec,2,1.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0
Boogie,3,2.0,3.0,3.0,3.0,3.0,3.0,2.0,0.0,1.0,2.0,0.0
Brainfuck,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,4.0,3.0,0.0
BrighterScript,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brightscript,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
Browserslist,2,2.0,2.0,1.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0
C#,9,9.0,9.0,9.0,8.0,9.0,8.0,8.0,1.0,8.0,9.0,7.0
C++,55,49.0,50.0,50.0,51.0,50.0,47.0,51.0,16.0,49.0,52.0,37.0
C,58,51.0,53.0,45.0,53.0,57.0,52.0,54.0,6.0,49.0,33.0,10.0
CAP CDS,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIL,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CLIPS,2,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0
CMake,7,7.0,7.0,7.0,5.0,7.0,7.0,7.0,1.0,7.0,6.0,0.0
COBOL,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,0.0
CODEOWNERS,1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CSON,4,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
CSS,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,0.0
CSV,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
CUE,2,2.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
CWeb,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cabal Config,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Caddyfile,2,1.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
Cadence,6,6.0,6.0,6.0,6.0,6.0,6.0,5.0,0.0,5.0,0.0,0.0
Cairo Zero,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cairo,5,1.0,5.0,2.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
CameLIGO,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carbon,2,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0
CartoCSS,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ceylon,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
Chapel,5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,2.0,0.0,0.0
Charity,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Checksums,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Circom,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0
Cirru,14,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Clarion,4,3.0,3.0,0.0,3.0,4.0,3.0,0.0,0.0,3.0,0.0,0.0
Clarity,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,2.0,0.0,0.0
Classic ASP,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clean,9,9.0,9.0,3.0,9.0,9.0,7.0,0.0,0.0,6.0,0.0,0.0
Click,2,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0
Clojure,10,9.0,10.0,10.0,10.0,10.0,9.0,10.0,2.0,10.0,10.0,6.0
Closure Templates,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cloud Firestore Security Rules,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CoNLL-U,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CodeQL,6,1.0,1.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
CoffeeScript,10,9.0,10.0,9.0,10.0,10.0,9.0,9.0,0.0,9.0,3.0,1.0
ColdFusion CFC,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColdFusion,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
Common Lisp,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Common Workflow Language,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Component Pascal,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cool,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0
Coq,13,11.0,11.0,10.0,12.0,12.0,11.0,11.0,1.0,6.0,9.0,0.0
Creole,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crystal,3,1.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0
Csound Document,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Csound Score,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Csound,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,1.0,1.0
Cuda,2,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0
Cue Sheet,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Curry,2,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
Cycript,1,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cylc,3,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Cypher,4,4.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,3.0,0.0
D,9,8.0,6.0,6.0,6.0,8.0,6.0,6.0,1.0,5.0,4.0,0.0
D2,2,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
DIGITAL Command Language,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DM,1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
DNS Zone,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DTrace,3,2.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
Dafny,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0
Dart,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
DataWeave,5,4.0,4.0,3.0,3.0,4.0,3.0,3.0,0.0,2.0,0.0,0.0
Debian Package Control File,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DenizenScript,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Dhall,2,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
Diff,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DirectX 3D File,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dockerfile,2,2.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0
Dogescript,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Dotenv,14,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
Dune,1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
E-mail,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E,7,7.0,7.0,3.0,7.0,6.0,5.0,2.0,0.0,6.0,1.0,1.0
EBNF,4,4.0,4.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
ECL,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
ECLiPSe,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EJS,5,1.0,3.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0
EQ,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eagle,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Earthly,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Easybuild,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ecmarkup,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Edge,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
EdgeQL,2,2.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0
EditorConfig,3,2.0,3.0,1.0,2.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0
Edje Data Collection,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eiffel,7,7.0,7.0,5.0,7.0,7.0,7.0,7.0,0.0,3.0,0.0,0.0
Elixir,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,5.0,6.0,2.0
Elm,3,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Elvish,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
Emacs Lisp,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EmberScript,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erlang,16,16.0,16.0,15.0,15.0,16.0,15.0,15.0,4.0,14.0,15.0,8.0
Euphoria,10,10.0,10.0,4.0,10.0,10.0,10.0,7.0,0.0,6.0,2.0,0.0
F#,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,3.0,5.0,8.0,3.0
FIGlet Font,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIRRTL,2,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0
FLUX,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fantom,2,2.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0
Faust,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0
Fennel,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,0.0
Filebench WML,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Filterscript,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fluent,5,5.0,4.0,2.0,4.0,5.0,5.0,1.0,0.0,1.0,0.0,0.0
Formatted,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forth,16,16.0,16.0,16.0,16.0,16.0,16.0,16.0,4.0,13.0,10.0,1.0
Fortran,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,3.0
FreeBASIC,4,4.0,4.0,2.0,4.0,4.0,4.0,4.0,1.0,3.0,1.0,0.0
FreeMarker,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0
Frege,4,3.0,2.0,2.0,2.0,3.0,2.0,1.0,0.0,1.0,2.0,0.0
Fstar,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Futhark,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
G-code,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GAML,6,6.0,5.0,0.0,6.0,6.0,5.0,0.0,0.0,2.0,0.0,0.0
GAMS,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
GAP,9,9.0,9.0,8.0,9.0,9.0,8.0,8.0,2.0,6.0,8.0,3.0
GCC Machine Description,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GDB,2,1.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0
GDScript,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,0.0
GEDCOM,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
GLSL,20,20.0,20.0,18.0,18.0,19.0,19.0,17.0,3.0,17.0,16.0,0.0
GN,11,6.0,10.0,4.0,9.0,10.0,8.0,1.0,0.0,5.0,0.0,0.0
GSC,6,1.0,5.0,2.0,3.0,6.0,4.0,0.0,0.0,3.0,0.0,0.0
Game Maker Language,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemfile.lock,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemini,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Genero 4gl,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Genero per,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Genie,4,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
Gerber Image,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gherkin,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0
Git Attributes,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Git Config,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Git Revision List,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gleam,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0
Glimmer JS,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Glimmer TS,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Glyph Bitmap Distribution Format,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gnuplot,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.0,6.0,2.0,0.0
Go Checksums,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Go Module,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Go Workspace,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Go,4,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0
Godot Resource,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Golo,27,23.0,27.0,8.0,12.0,26.0,9.0,2.0,0.0,4.0,1.0,4.0
Gosu,5,4.0,3.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0
Grace,2,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Gradle Kotlin DSL,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gradle,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grammatical Framework,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Graph Modeling Language,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GraphQL,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,3.0,4.0,0.0
Graphviz (DOT),2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Groovy Server Pages,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Groovy,6,4.0,4.0,4.0,5.0,4.0,4.0,4.0,0.0,4.0,4.0,3.0
HAProxy,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,0.0
HCL,6,5.0,6.0,4.0,5.0,5.0,5.0,6.0,1.0,3.0,2.0,0.0
HLSL,5,5.0,5.0,5.0,5.0,5.0,5.0,4.0,1.0,2.0,4.0,0.0
HOCON,4,2.0,2.0,0.0,2.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0
HTML+ECR,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HTML+EEX,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HTML+ERB,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HTML+Razor,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HTML,8,6.0,5.0,5.0,5.0,7.0,5.0,6.0,2.0,3.0,3.0,2.0
HXML,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hack,30,28.0,30.0,30.0,28.0,30.0,30.0,29.0,5.0,29.0,15.0,6.0
Haml,2,0.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
Handlebars,2,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
Hare,3,3.0,3.0,1.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0
Haskell,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,4.0,5.0,4.0
HiveQL,2,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0
HolyC,5,3.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Hosts File,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hy,3,3.0,3.0,3.0,3.0,3.0,3.0,2.0,0.0,3.0,3.0,0.0
HyPhy,8,7.0,7.0,1.0,8.0,7.0,5.0,0.0,0.0,1.0,0.0,0.0
IDL,5,5.0,5.0,4.0,5.0,5.0,5.0,4.0,1.0,5.0,4.0,0.0
IGOR Pro,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INI,17,11.0,12.0,7.0,7.0,12.0,4.0,7.0,0.0,4.0,0.0,0.0
Idris,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
Ignore List,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ImageJ Macro,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imba,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inform 7,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ink,5,5.0,5.0,1.0,3.0,5.0,5.0,2.0,0.0,1.0,1.0,0.0
Inno Setup,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ioke,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
Isabelle ROOT,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Isabelle,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
J,2,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0
JAR Manifest,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JCL,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,0.0,0.0
JFlex,2,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
JSON with Comments,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JSON,36,30.0,32.0,25.0,28.0,34.0,23.0,26.0,4.0,26.0,17.0,1.0
JSON5,2,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0
JSONLD,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JSONiq,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Janet,3,3.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Jasmin,8,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
Java Properties,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Java Template Engine,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Java,11,11.0,11.0,11.0,10.0,11.0,11.0,11.0,1.0,8.0,11.0,9.0
