,ground-truth,linguist
Groovy,6,6.0
HAProxy,4,4.0
HCL,6,6.0
HLSL,5,5.0
HOCON,4,4.0
HTML+ECR,1,1.0
HTML+EEX,3,3.0
HTML+ERB,3,3.0
HTML+Razor,2,2.0
HTML,8,8.0
HXML,2,2.0
Hack,30,30.0
Haml,2,2.0
Handlebars,2,2.0
Hare,3,3.0
Haskell,5,5.0
HiveQL,2,2.0
HolyC,5,5.0
Hosts File,2,2.0
Hy,3,3.0
HyPhy,8,8.0
IDL,5,5.0
IGOR Pro,3,3.0
INI,17,17.0
Idris,1,1.0
Ignore List,21,21.0
ImageJ Macro,2,2.0
Imba,1,1.0
Inform 7,2,2.0
Ink,5,5.0
Inno Setup,2,2.0
Ioke,1,1.0
Isabelle ROOT,1,1.0
Isabelle,1,1.0
J,2,2.0
JAR Manifest,1,1.0
JCL,3,3.0
JFlex,2,2.0
JSON with Comments,27,27.0
JSON,36,36.0
JSON5,2,2.0
JSONLD,1,1.0
JSONiq,2,2.0
Janet,3,3.0
Jasmin,8,8.0
Java Properties,2,2.0
Java Template Engine,1,1.0
Java,11,11.0
JavaScript+ERB,1,1.0
JavaScript,40,40.0
Jest Snapshot,1,1.0
JetBrains MPS,3,3.0
Jinja,2,2.0
Jison Lex,2,2.0
Jison,3,3.0
Jolie,5,5.0
Jsonnet,1,1.0
Julia,2,2.0
Jupyter Notebook,1,1.0
Just,2,2.0
KRL,1,1.0
Kaitai Struct,2,2.0
KakouneScript,3,3.0
KerboScript,3,3.0
KiCad Layout,16,16.0
KiCad Legacy Layout,1,1.0
KiCad Schematic,7,7.0
Kickstart,3,3.0
Kit,1,1.0
Kotlin,1,1.0
Kusto,4,4.0
LFE,4,4.0
LOLCODE,1,1.0
LSL,2,2.0
LTspice Symbol,1,1.0
LabVIEW,11,11.0
Lark,3,3.0
Lasso,3,3.0
Latte,2,2.0
Lean 4,1,1.0
Lean,2,2.0
Less,1,1.0
Lex,2,2.0
LigoLANG,1,1.0
Limbo,3,3.0
Linker Script,4,4.0
Linux Kernel Module,3,3.0
Liquid,2,2.0
Literate Agda,1,1.0
Literate CoffeeScript,2,2.0
LiveCode Script,4,4.0
LiveScript,1,1.0
Logos,5,5.0
Logtalk,1,1.0
LookML,3,3.0
LoomScript,2,2.0
Lua,7,7.0
Luau,5,5.0
M,29,29.0
M4,5,5.0
M4Sugar,3,3.0
MATLAB,39,39.0
MAXScript,5,5.0
MDX,1,1.0
MLIR,4,4.0
MQL4,3,3.0
MQL5,3,3.0
MTML,1,1.0
MUF,2,2.0
Macaulay2,1,1.0
Makefile,12,12.0
Markdown,10,10.0
Marko,3,3.0
Mask,1,1.0
Mathematica,12,12.0
Maven POM,1,1.0
Max,3,3.0
Mercury,10,10.0
Mermaid,11,11.0
Meson,2,2.0
Metal,1,1.0
Microsoft Developer Studio Project,1,1.0
Microsoft Visual Studio Solution,1,1.0
MiniYAML,9,9.0
Mint,6,6.0
Modelica,12,12.0
Modula-2,1,1.0
Modula-3,5,5.0
Module Management System,5,5.0
Mojo,2,2.0
Monkey C,1,1.0
Monkey,5,5.0
Moocode,3,3.0
MoonBit,5,5.0
MoonScript,1,1.0
Motoko,2,2.0
Motorola 68K Assembly,6,6.0
Move,2,2.0
Muse,2,2.0
Mustache,4,4.0
NASL,10,10.0
NCL,16,16.0
NEON,2,2.0
NL,2,2.0
NMODL,2,2.0
NPM Config,1,1.0
NSIS,2,2.0
NWScript,6,6.0
Nasal,2,2.0
Nearley,1,1.0
Nemerle,1,1.0
NetLinx+ERB,2,2.0
NetLinx,2,2.0
NetLogo,1,1.0
NewLisp,3,3.0
Nextflow,4,4.0
Nginx,3,3.0
Nim,6,6.0
Nit,24,24.0
Nix,1,1.0
Noir,3,3.0
Nu,2,2.0
Nunjucks,1,1.0
Nushell,2,2.0
OASv2-json,1,1.0
OASv2-yaml,2,2.0
OASv3-json,1,1.0
OASv3-yaml,2,2.0
OCaml,10,10.0
Oberon,1,1.0
Object Data Instance Notation,1,1.0
ObjectScript,1,1.0
Objective-C++,2,2.0
Objective-C,22,22.0
Objective-J,3,3.0
Odin,1,1.0
Omgrofl,1,1.0
Opa,2,2.0
Opal,1,1.0
Open Policy Agent,4,4.0
OpenCL,2,2.0
OpenEdge ABL,6,6.0
OpenQASM,1,1.0
OpenRC runscript,1,1.0
OpenSCAD,2,2.0
OpenStep Property List,2,2.0
Option List,5,5.0
Org,1,1.0
Ox,3,3.0
Oxygene,1,1.0
Oz,1,1.0
P4,2,2.0
PDDL,3,3.0
PEG.js,2,2.0
PHP,19,19.0
PLSQL,8,8.0
PLpgSQL,7,7.0
POV-Ray SDL,12,12.0
Pact,2,2.0
Pan,18,18.0
Papyrus,3,3.0
Parrot Assembly,1,1.0
Parrot Internal Representation,1,1.0
Pascal,13,13.0
Pawn,7,7.0
Pep8,7,7.0
Perl,27,27.0
Pic,3,3.0
Pickle,4,4.0
PicoLisp,1,1.0
PigLatin,1,1.0
Pike,3,3.0
Pip Requirements,2,2.0
Pkl,3,3.0
PlantUML,7,7.0
Pod 6,1,1.0
Pod,4,4.0
PogoScript,1,1.0
Polar,2,2.0
Pony,6,6.0
Portugol,2,2.0
PostCSS,2,2.0
PostScript,3,3.0
PowerBuilder,6,6.0
PowerShell,4,4.0
Praat,3,3.0
Prisma,5,5.0
Processing,1,1.0
Procfile,1,1.0
Proguard,3,3.0
Prolog,10,10.0
Promela,7,7.0
Propeller Spin,10,10.0
Protocol Buffer Text Format,4,4.0
Protocol Buffer,1,1.0
Public Key,7,7.0
Pug,2,2.0
Puppet,5,5.0
PureBasic,2,2.0
PureScript,4,4.0
Pyret,1,1.0
Python,21,21.0
Q#,2,2.0
QML,1,1.0
QMake,4,4.0
Qt Script,2,2.0
Quake,2,2.0
QuickBASIC,3,3.0
R,8,8.0
RAML,1,1.0
RBS,1,1.0
RDoc,1,1.0
REXX,4,4.0
RMarkdown,2,2.0
RON,1,1.0
RPC,3,3.0
RPGLE,9,9.0
RPM Spec,3,3.0
RUNOFF,4,4.0
Racket,2,2.0
Ragel,3,3.0
Raku,24,24.0
Rascal,5,5.0
ReScript,1,1.0
Readline Config,1,1.0
Reason,6,6.0
ReasonLIGO,1,1.0
Rebol,6,6.0
Record Jar,1,1.0
Red,2,2.0
Redirect Rules,1,1.0
Regular Expression,4,4.0
RenPy,1,0.0
RenderScript,2,2.0
Rez,3,3.0
Rich Text Format,2,2.0
Ring,4,4.0
Riot,2,2.0
RobotFramework,4,4.0
Roc,4,4.0
Roff Manpage,12,12.0
Roff,18,18.0
RouterOS Script,4,4.0
Ruby,39,39.0
Rust,4,4.0
SAS,3,3.0
SCSS,1,1.0
SELinux Policy,4,4.0
SMT,4,4.0
SPARQL,2,2.0
SQF,2,2.0
SQL,14,14.0
SQLPL,6,6.0
SRecode Template,1,1.0
SSH Config,6,6.0
STAR,3,3.0
STON,7,7.0
SWIG,3,3.0
Sage,1,1.0
SaltStack,6,6.0
Sass,1,1.0
Scala,7,7.0
Scaml,1,1.0
Scenic,4,4.0
Scheme,4,4.0
Scilab,3,3.0
ShaderLab,3,3.0
Shell,55,55.0
ShellCheck Config,1,1.0
ShellSession,3,3.0
Shen,3,3.0
Sieve,11,11.0
Simple File Verification,2,2.0
Singularity,1,1.0
Slash,1,1.0
Slice,3,3.0
Slim,1,1.0
Slint,3,3.0
SmPL,1,1.0
Smali,7,7.0
Smalltalk,10,10.0
Smithy,1,1.0
Snakemake,4,4.0
Soong,1,1.0
SourcePawn,3,3.0
Squirrel,1,1.0
Stan,3,3.0
Standard ML,5,5.0
Starlark,11,11.0
Stata,7,7.0
StringTemplate,1,1.0
Stylus,1,1.0
SubRip Text,1,1.0
SugarSS,1,1.0
SuperCollider,5,5.0
Svelte,1,1.0
Sway,5,5.0
Sweave,2,2.0
Swift,43,43.0
SystemVerilog,4,4.0
TI Program,7,7.0
TL-Verilog,2,2.0
TLA,2,2.0
TOML,7,7.0
TSPLIB data,2,2.0
TSQL,4,4.0
TSV,3,3.0
TSX,4,4.0
TXL,1,1.0
Tact,2,2.0
Talon,2,2.0
Tcl,7,7.0
Tcsh,1,1.0
TeX,7,7.0
Tea,1,1.0
Terra,3,3.0
Terraform Template,2,2.0
Texinfo,1,1.0
Text,26,26.0
TextGrid,3,3.0
TextMate Properties,1,1.0
Thrift,1,1.0
Toit,3,3.0
Turing,4,4.0
Turtle,2,2.0
Type Language,2,2.0
TypeScript,6,6.0
TypeSpec,2,2.0
Typst,2,2.0
Unity3D Asset,6,6.0
Unix Assembly,4,4.0
Uno,3,3.0
UnrealScript,2,2.0
UrWeb,2,2.0
V,9,9.0
VBA,10,10.0
VBScript,1,1.0
VCL,2,2.0
VHDL,1,1.0
Valve Data Format,1,1.0
Velocity Template Language,3,3.0
Verilog,14,14.0
Vim Help File,1,1.0
Vim Script,9,9.0
Vim Snippet,2,2.0
Visual Basic .NET,3,3.0
Visual Basic 6.0,11,11.0
Volt,1,1.0
Vue,2,2.0
Vyper,5,5.0
WDL,4,4.0
WGSL,1,1.0
Wavefront Material,4,4.0
Wavefront Object,5,5.0
Web Ontology Language,1,1.0
WebAssembly Interface Type,1,1.0
WebAssembly,6,6.0
WebIDL,2,2.0
WebVTT,3,3.0
Wget Config,1,1.0
Whiley,3,3.0
Wikitext,2,2.0
Win32 Message File,1,1.0
Windows Registry Entries,1,1.0
Witcher Script,2,2.0
Wollok,2,2.0
World of Warcraft Addon Data,3,3.0
Wren,1,1.0
X BitMap,1,1.0
X Font Directory Index,4,4.0
X PixMap,2,2.0
X10,18,18.0
XC,1,1.0
XCompose,1,1.0
XML Property List,10,10.0
XML,73,73.0
XPages,2,2.0
XProc,1,1.0
XQuery,1,1.0
XS,1,1.0
XSLT,1,1.0
Xojo,6,6.0
Xonsh,1,1.0
Xtend,2,2.0
YAML,16,16.0
YANG,1,1.0
YARA,3,3.0
YASnippet,2,2.0
Yacc,1,1.0
Yul,2,2.0
ZAP,1,1.0
ZIL,1,1.0
Zeek,3,3.0
ZenScript,1,1.0
Zephir,2,2.0
Zig,4,4.0
Zimpl,1,1.0
cURL Config,1,1.0
crontab,1,1.0
desktop,2,2.0
dircolors,1,1.0
eC,1,1.0
edn,1,1.0
fish,3,3.0
hoon,2,2.0
iCalendar,2,2.0
jq,2,2.0
kvlang,1,1.0
mIRC Script,4,4.0
mcfunction,1,1.0
nanorc,3,3.0
omnetpp-msg,3,0.0
omnetpp-ned,3,0.0
q,2,2.0
reStructuredText,1,1.0
robots.txt,1,1.0
sed,1,1.0
templ,1,1.0
vCard,2,2.0
wisp,1,1.0
xBase,3,3.0
